N,ID_PR,ASL,RAGIONE SOCIALE,PARTITA IVA,NOME PRESIDIO,DECRETI,TIPO DI PROVVEDIMENTO,INDIRIZZO,COMUNE,CAP,Latitude,Longitude
805,1092,101 RM/A,LABORATORIO ANALISI CLINICHE DELLE VALLI SRL,01008551002,LABORATORIO ANALISI CLINICHE DELLE VALLI SRL,U00374/12,DECRETO DI ACCREDITAMENTO,LARGO VALSABBIA 26,ROMA,00141,41.9426575,12.5163646
729,530,101 RM/A,LABORATORIO ANALISI CLINICHE DOTT.LORENZO ANTONINI SRL,01513831006,LABORATORIO ANALISI CLINICHE DOTT. LORENZO ANTONINI S.R.L.,U00180/12,DECRETO DI ACCREDITAMENTO,"Viale Regina Margherita, 158",ROMA,00198,41.915211,12.5034463
879,1447,101 RM/A,LABORATORIO ANALISI CLINICHE DR. SARDONE SRL,01328971005,STRUTTURA AMBULATORIALE LABORATORIO ANALISI CLINICHE DR. SARDONE SRL,U00304/12,DECRETO DI ACCREDITAMENTO,Via Monte Cervialto N. 75,ROMA,00139,41.95219,12.52466
755,1166,101 RM/A,LABORATORIO ANALISI CLINICHE E RADIOIMMUNOLOGICHE BOLOGNA S.R.L.,01148401001,STRUTTURA AMBULATORIALE LABORATORIO ANALISI CLINICHE E RADIOIMMUNOLOGICHE BOLOGNA S.R.L.,U00420/12,DECRETO DI ACCREDITAMENTO,"Viale Ventuno Aprile, 38 b",ROMA,00162,41.9155168,12.5203148
155,1540,101 RM/A,LABORATORIO ANALISI CLINICHE E RICERCHE DIAGNOSTICHE PROF.A.DE ARCANGELIS S.R.L.,01072901000,LAB PROF. DE ARCANGELIS SRL,U00315/12,DECRETO DI ACCREDITAMENTO,Corso Trieste 22,ROMA,00198,41.9153834,12.5075813
536,1431,101 RM/A,LABORATORIO ANALISI CLINICHE GIANTURCO S.R.L.,00976431007,STRUTTURA AMBULATORIALE LABORATORIO ANALISI CLINICHE GIANTURCO S.R.L.,"U00357/12
U00154/13
U00273/13",DECRETO DI ACCREDITAMENTO,VIA CESARE FRACASSINI 18,ROMA,00196,41.9236093,12.470299
718,962,101 RM/A,LABORATORIO ANALISI CLINICHE SPECIALISTICHE 'CAVOUR' S.R.L.,01240451003,LABORATORIO,"U00366/12
U00147/13",DECRETO DI ACCREDITAMENTO,"VIA ORTIGNANO, 2/C",ROMA,00138,41.9717913,12.5168262
293,1578,101 RM/A,LABORATORIO ANALISI DR.SSA SILVIA TOLLOY S.R.L.,06554171006,LABORATORIO ANALISI DR.SSA SILVIA TOLLOY S.R.L,U00284/12,DECRETO DI ACCREDITAMENTO,"Via Milano, 37",ROMA,00184,41.8985128,12.4908144
97,596,101 RM/A,LABORATORIO ANALISI S EMERENZIANA SNC,01201301007,STRUTTURA AMBULATORIALE LABORATORIO ANALISI CLINICHE S EMERENZIANA  SNC,"U00335/12
U00449/13",DECRETO DI ACCREDITAMENTO,PIAZZA S EMERENZIANA 2,ROMA,00199,41.92904,12.51603
297,1639,101 RM/A,LABORATORIO DE SANCTIS SRL,01529811000,LABORATORIO DE SANCTIS SRL,U00393/12,DECRETO DI ACCREDITAMENTO,VIA MERULANA 13,ROMA,00185,41.8963067,12.4996536
207,200,101 RM/A,LABORATORIO DI ANALISI CLINICHE DOTTOR MARCELLO BARBATO SRL,01185821004,LABORATORIO DI ANALISI CLINICHE DR. MARCELLO BARBATO SRL,U00307/12,DECRETO DI ACCREDITAMENTO,"Via Clisio,9",ROMA,00199,41.92409,12.51121
739,750,101 RM/A,LABORATORIO DI PATOLOGIA CLINICA BRUSCA SRL,04128081009,LABORATORIO DI PATOLOGIA CLINICA BRUSCA SRL,U00190/12,DECRETO DI ACCREDITAMENTO,"Via Panama , 68 - ingresso indip. al n¿ 70",ROMA,00198,41.9178828,12.5039922
658,1425,101 RM/A,LABORATORIO DI PATOLOGIA CLINICA GIARNIERI SRL,01337851008,LABORATORIO DI PATOLOGIA CLINICA GIARNIERI SRL,U00388/12,DECRETO DI ACCREDITAMENTO,Via Po 43-45,ROMA,00198,41.9174637,12.499021
942,125,101 RM/A,LABORATORIO IPPOCRATE S.R.L.,01308271004,LABORATORIO IPPOCRATE SRL,U00262/12,DECRETO DI ACCREDITAMENTO,CIRCONVALLAZIONE NOMENTANA 538,ROMA,00162,41.9112216,12.5286266
848,782,101 RM/A,LABORATORIO MEDICO BIOLOGICO GRAF S.R.L.,02098300581,LABORATORIO MEDICO BIOLOGICO GRAF S.R.L.,"U00493/12
U00271/13",DECRETO DI ACCREDITAMENTO,Via Arturo Graf 45-47,ROMA,00137,41.9432608,12.5524494
565,1767,101 RM/A,LABORATORIO PATOLOGIA CLINICA DI GIORGI,04505241002,LABORATORIO PATOLOGIA CLINICA DI GIORGI,U00314/12,DECRETO DI ACCREDITAMENTO,piazza m.b.bulgarelli 32/44,ROMA,00139,41.9650271,12.5191936
245,824,101 RM/A,LUISA SAM SRL (TRASFORMATA IN S.A.M.),01220551004,ANALISI CLINICHE LUISA POLIAMBULATORIO,U00300/12,DECRETO DI ACCREDITAMENTO,VIA PADOVA 96/A,ROMA,00161,41.9105291,12.5206345
237,664,101 RM/A,LYCEUM S.R.L.,01030121006,STRUTTURA AMBULATORIALE LYCEUM SRL,U00205/12,DECRETO DI ACCREDITAMENTO,"Via Montebuono, 25/b",ROMA,00199,41.9340228,12.5129158
836,535,101 RM/A,MACHIAVELLI MEDICAL HOUSE S.R.L.,01054891005,MACHIAVELLI MEDICAL HOUSE S.R.L.,U00456/12,DECRETO DI ACCREDITAMENTO,Via Machiavelli n.° 22,ROMA,00185,,
957,978,101 RM/A,MAR S.R.L.,07543541002,AMBULATORIO SPECIALISTICO OCULISTICO MAR,U00129/13,DECRETO DI ACCREDITAMENTO,Via Adige 28 piano I int. 2,ROMA,00198,41.9209437,12.5041157
101,627,101 RM/A,MARTELLI ANALISI CLINICHE SRL,07451591007,MARTELLI ANALISI CLINICHE SRL,U00466/12,DECRETO DI ACCREDITAMENTO,via filippo antonio gualterio 52 e,ROMA,00139,41.9531948,12.5222347
650,1337,101 RM/A,MATRICCIANI DOTT. ANTONIO,04212731006,MATRICCIANI DOTT. ANTONIO - OTORINO,U00240/12,DECRETO DI ACCREDITAMENTO,via Franco Sacchetti 101,ROMA,00137,41.947207,12.54354
374,660,101 RM/A,ME.DI.T. SRL,01174991008,STRUTTURA AMBULATORIALE ME.DI.T. SRL,U00457/12,DECRETO DI ACCREDITAMENTO,P.LE ADRIATICO 5,ROMA,00141,41.9398831,12.5359714
198,1106,101 RM/A,MEDICAL HOUSE VIGNE NUOVE SRL,01428411001,MEDICAL HOUSE VIGNE NUOVE SRL,U00365/12,DECRETO DI ACCREDITAMENTO,VIA GIOVANNI PASTRONE 41,ROMA,00139,41.9613795,12.5371295
233,641,101 RM/A,MONTECERVIALTO RADIOLOGIA SRL,02077861009,MONTE CERVIALTO RADIOLOGIA SRL,U00166/12,DECRETO DI ACCREDITAMENTO,via monte cervialto n.56,ROMA,00139,41.95197,12.52476
743,854,101 RM/A,NOVAMEDICA S.R.L.,01037841002,NOVAMEDICA S.R.L.,U00412/12,DECRETO DI ACCREDITAMENTO,Via Gianluca Squarcialupo n.° 17/C,ROMA,00162,41.9167312,12.5255006
311,1806,101 RM/A,OPERA SANTE DE SANCTIS ONLUS ASS. PER LA TERAPIA E LA RIABILITAZIONE DEGLI HANDICAP. PSICO-FISICI,09452921001,CENTRO VIA CONTE VERDE,U00207/13,DECRETO DI ACCREDITAMENTO,Via Conte Verde 47,ROMA,00185,41.892938,12.5071292
946,227,101 RM/A,OREDA SRL,01004641005,PRESIDIO OREDA,U00487/12,DECRETO DI ACCREDITAMENTO,VIA FRANCO SACCHETTI 127,ROMA,00137,41.9466218,12.543026
630,758,101 RM/A,PASSARETTI GIUSEPPE ENRICO,1.0752770585E10,PASSARETTI GIUSEPPE,U00489/12,DECRETO DI ACCREDITAMENTO,via Bari n°7,ROMA,00161,41.9107291,12.5149189
159,1605,101 RM/A,PIGRECO OMNIA SALUS SRL,06589561007,STRUTTURA AMBULATORIALE PIGRECO OMNIA SALUS SRL,U00312/12,DECRETO DI ACCREDITAMENTO,"Via Don Giustino Maria Russolillo, 63",ROMA,00138,41.97055779999999,12.5174886
695,991,101 RM/A,POLIAMBULATORIO TALENTI SRL,01021921000,STRUTTURA AMBULATORIALE POLIAMBULATORIO TALENTI S.R.L.,U00235/12,DECRETO DI ACCREDITAMENTO,Via Pietro Aretino 43,ROMA,00137,41.944717,12.5498918
637,888,101 RM/A,POLICLINICO ITALIA S.R.L.,05600591001,CASA DI CURA POLICLINICO ITALIA - RESIDENZA ASSISTENZIALE R1-R3,U00302/13,DECRETO DI ACCREDITAMENTO,Piazza del Campidano n. 6 ,ROMA,00172,41.9163299,12.523146
117,845,101 RM/A,PRODA S.R.L.,01107811000,ISTITUTO DI DIAGNOSTICA CLINICA PRODA 1,"U00410/12
U00171/13",DECRETO DI ACCREDITAMENTO,"Piazza Capri, 15",ROMA,00141,41.9438172,12.5289765
471,280,101 RM/A,RADIOLOGICA PAVIA S.R.L.,04109541005,RADIOLOGICA PAVIA S.R.L.,U00231/12,DECRETO DI ACCREDITAMENTO,VIA PO 45,ROMA,00198,41.9175023,12.4990683
319,1201,101 RM/A,REVERIE COMUNITÀ 1,03788361008,REVERIE COMUNIT¿ 1 - COMUNIT¿ TERAPEUTICA ROMANA,U00125/13,DECRETO DI ACCREDITAMENTO,"Via Moncenisio, 20",ROMA,00141,41.9412787,12.5338262
299,1685,101 RM/A,S.A.S. SRL,01088091002,MEDICINA FISICA E RIABILITATIVA,U00164/12,DECRETO DI ACCREDITAMENTO,"Via Francesco Carrara, 24",ROMA,00196,41.9121432,12.4738814
627,650,101 RM/A,SALUS C.M.D. S.R.L.,00984051003,SALUS C.M.D. S.R.L. POLIAMBULATORIO - LABORATORIO ANALISI CLINICHE,U00379/12,DECRETO DI ACCREDITAMENTO,"VIA ALESSANDRO VOLTA, 37",ROMA,00153,41.8787736,12.4774683
71,1099,101 RM/A,SALUS SRL,05529091000,SALUS,"U00341/13
U00299/14",DECRETO DI ACCREDITAMENTO,VIA PAOLO MONELLI 59,ROMA,00137,41.96113,12.55355
156,1567,101 RM/A,SAN MICHELE ROMA S.P.A.,01006951006,SAN MICHELE ROMA S.P.A.,"U00216/12
U00048/13",DECRETO DI ACCREDITAMENTO,VIA VAL DI NON 37,ROMA,00141,41.9433503,12.5174449
331,1108,101 RM/A,SANEM 2001 DI TOCCI AGOSTINO SNC,05192761004,SANEM 2001 DI TOCCI AGOSTINO SNC,U00159/12,DECRETO DI ACCREDITAMENTO,VIA NEMORENSE 27,ROMA,00199,41.9248573,12.5080051
872,1348,101 RM/A,SFERA S.R.L.,01150581005,PRESIDIO 1,U00219/12,DECRETO DI ACCREDITAMENTO,Via Renato Fucini 240,ROMA,00137,41.9482465,12.5504516
195,1075,101 RM/A,SOCIETÀ COOPERATIVA SOCIALE DI AZIONE RIABILITATIVA A R.L.,01218981007,SOCIETÀ COOPERATIVA SOCIALE DI AZIONE RIABILITATIVA A R.L.,U00040/13,DECRETO DI ACCREDITAMENTO,Via Suvereto 237 E Via Valfurva n. 14/16,ROMA,00139,41.9347891,12.5308123
473,925,101 RM/A,SOCIETA IN ACCOMMANDITA SEMPLICE,01255271007,SOMALIA SALUS SAS,"U00295/12
U00349/13",DECRETO DI ACCREDITAMENTO,VIALE SOMALIA SAS,ROMA,00199,41.9319083,12.5097274
681,1814,101 RM/A,STUDIO DI DIAGNOSI MEDICA SRL,01748351002,STRUTTURA AMBULATORIALE STUDIO DI DIAGNOSI MEDICA SRL,U00363/12,DECRETO DI ACCREDITAMENTO,Viale Regina Margherita 270,ROMA,00198,41.9115731,12.5080661
562,1704,101 RM/A,STUDIO DI MEDICINA NUCLEARE SRL,01318981006,STRUTTURA AMBULATORIALE STUDIO DI MEDICINA NUCLEARE SRL,U00447/12,DECRETO DI ACCREDITAMENTO,Via Renato Fucini 59,ROMA,00137,41.9524119,12.5466285
524,1262,101 RM/A,STUDIO DIAGNOSTICO PANTHEON SRL,01247611005,STUDIO DIAGNOSTICO PANTHEON SRL,U00495/12,DECRETO DI ACCREDITAMENTO,VIA GIUSTINIANI 12,ROMA,00186,41.899439,12.4751212
812,216,101 RM/A,STUDIO FISIOKINESITERAPICO ACCADEMIA S.R.L.,01254651001,STUDIO FISIOKINESITERAPICO ACCADEMIA,U00135/12,DECRETO DI ACCREDITAMENTO,PIAZZA ANTONIO BALDINI 4,ROMA,00141,41.9401572,12.54452
925,1198,101 RM/A,STUDIO FISIOKINESITERAPICO ROMANO S.R.L.,01337711004,STUDIO FISIOKINESITERAPICO ROMANO S.R.L.,"U00419/12
U00019/14",DECRETO DI ACCREDITAMENTO,"Viale Libia, 76",ROMA,00199,41.92991070000001,12.5172385
37,1758,101 RM/A,STUDIO MEDICO LAZIO S.R.L.,01228571004,STUDIO MEDICO LAZIO S.R.L.,U00470/12,DECRETO DI ACCREDITAMENTO,"Viale G. Rossini, 24",ROMA,00198,41.9199825,12.4913388
701,1104,101 RM/A,STUDIO RADIOLOGICO LIBIA S.R.L.,01259641007,STUDIO RADIOLOGICO LIBIA S.R.L.,"U00234/12
U00067/14",DECRETO DI ACCREDITAMENTO,VIALE LIBIA 58,ROMA,00199,41.9301091,12.5174765
903,1671,101 RM/A,STUDIO RADIOLOGICO MARULLO SRL,01062581002,STUDIO RADIOLOGICO MARULLO SRL,U00239/12,DECRETO DI ACCREDITAMENTO,VIA ALESSANDRO TORLONIA 11/13,ROMA,00161,41.915703,12.5124667
118,848,101 RM/A,TIZIANO CONSULTORIO FAMILIARE SRL,01292691001,TIZIANO CONSULTORIO FAMILIARE SRL,U00221/13,DECRETO DI ACCREDITAMENTO,Via Renato Fucini 59 ter,ROMA,00137,41.9524119,12.5466285
974,484,101 RM/A,VILLA ESPERIA ROMA S.R.L.,01113581001,VILLA ESPERIA ROMA S.R.L. ,U00017/13,DECRETO DI ACCREDITAMENTO,Viale Regina Margherita n.° 279,ROMA,00198,41.9178828,12.5039922
1027,5750,101 RM/A,RSA SETTEBAGNI S.R.L.,05506430486,RSA SANTA CHIARA *2,"U00340/13
U00106/14",DECRETO DI ACCREDITAMENTO,VIA DELLO SCALO DI SETTEBAGNI 77,ROMA,00138,42.00431,12.52027
25,658,102 RM/B,901 TUSCOLANA ACCERTAMENTI DIAGNOSTICI S.R.L.,01281321008,901 TUSCOLANA ACCERTAMENTI DIAGNOSTICI S.R.L.,U00352/12,DECRETO DI ACCREDITAMENTO,"VIA TUSCOLANA, 901",ROMA,00174,41.85678,12.56246
28,481,102 RM/B,A.D.I. ACCENTRAMENTO DIAGNOSTICO ITALIANO S.R.L.,01133501005,STRUTTURA AMBULATORIALE A.D.I. ACCENTRAMENTO DIAGNOSTICO ITALIANO S.R.L.,U00064/12,DECRETO DI ACCREDITAMENTO,VIA NAZARENO GIANNI N° 5/7,ROMA,00131,41.94570299999999,12.6074724
40,1241,102 RM/B,AEROLAB SRL,01503171009,AEROLAB S.R.L.,"U00415/12
U00404/14",DECRETO DI ACCREDITAMENTO,Via dell'Aeroporto 6,ROMA,00175,41.8613363,12.5553113
47,240,102 RM/B,AM.CO. SRL,01014291007,R.S.A. VILLA LUCIA,U00268/13,DECRETO DI ACCREDITAMENTO,Via dei Pioppi 6,ROMA,00172,41.87732,12.56739
49,181,102 RM/B,ANALISI CLINICHE LARS -TOR SAPIENZA SRL,01396661009,ANALISI CLINICHE LARS-TOR SAPIENZA SRL,"U00367/12
U00022/14",DECRETO DI ACCREDITAMENTO,"VIA STEFANO USSI, 6",ROMA,00155,41.9014698,12.5909212
55,518,102 RM/B,ANALITICA ASKLEPEION S.R.L.,01313461004,ANALITICA ASKLEPEION SRL,U00069/13,DECRETO DI ACCREDITAMENTO,VIA DI TOR VERGATA 1,ROMA,00133,41.8625707,12.6203815
59,794,102 RM/B,ANICIO GALLO STUDIO RADIOLOGICO S.R.L.,04301151009,ANICIO GALLO STUDIO RADIOLOGICO,U00399/14,DECRETO DI CONFERMA DELL'AUTORIZZAZIONE,viale anicio gallo 12,ROMA,00174,41.85447569999999,12.5608019
67,1597,102 RM/B,AR.NA. RADIOLOGICA S.R.L.,01731441000,AR.NA. RADIOLOGICA S.R.L.,"U00422/12
U00279/14",DECRETO DI CONFERMA DELL'AUTORIZZAZIONE,Piazza Aruleno Celio Sabino 78,ROMA,00174,41.8532772,12.5585733
78,1240,102 RM/B,ARCIDIACONO SRL (C.M.A.),01315671006,DIAGNOSTICA X IMMAGINI - FISIOKINESITERAPIA - POLIAMBULATORIO - LABORATORIO ANALISI CLINICHE,"U00106/13
U00244/13
U00062/14
U00081/14",DECRETO DI ACCREDITAMENTO,"VIA DI PRATAPORCI, 52",ROMA,00132,41.8592323,12.6845159
83,470,102 RM/B,ARETEIA DEL DOTT. BONOMOLO E ALTRI S.R.L.,01248661009,STRUTTURA AMBULATORIALE ARETEIA DEL DOTT.BONOMOLO ED ALTRI SRL,U00063/12,DECRETO DI ACCREDITAMENTO,VIA EUGENIO TORELLI VIOLLIER N° 15,ROMA,00157,41.91089789999999,12.5378637
86,1483,102 RM/B,ARTEMEDICA TORVERGATA S.R.L.,05841001000,"STRUTTURA AMBULATORIALE ""ARTEMEDICA TORVERGATA S.R.L.""",U00316/12,DECRETO DI ACCREDITAMENTO,VIALE LUIGI SCHIAVONETTI 290,ROMA,00173,41.84485979999999,12.6176438
104,1563,102 RM/B,ASSOCIAZIONE ONLUS LA TENDA,04198941009,COMUNITÀ LA TENDA - UNITÀ DI STRADA V MUNICIPIO,U00371/14,DECRETO DI ACCREDITAMENTO,Via del Frantoio 58,ROMA,00159,41.91431,12.56117
137,1355,102 RM/B,AZZOPARDI ROSARIO MARIA,02625940586,AZZOPARDI ROSARIO MARIA,U00468/12,DECRETO DI ACCREDITAMENTO,VIA AMICO ASPERTINI 113,ROMA,00133,41.8757718,12.6275106
144,1386,102 RM/B,BIODIAGNOSTICA ALESSANDRINA SRL,01319781009,STRUTTURA AMBULATORIALE BIODIAGNOSTICA ALESSANDRINA SRL,U00108/12,DECRETO DI ACCREDITAMENTO,VIA DEL CAMPO 46F,ROMA,00172,41.8768545,12.5778008
152,704,102 RM/B,BIOMEDICA ROMA SRL,04889991008,BIOMEDICA ROMA SRL,"U00277/12
U00356/13
U00269/14",DECRETO DI ACCREDITAMENTO,V. PAN 18,ROMA,00158,41.9153433,12.5548801
153,949,102 RM/B,BIORAMA 77 S.R.L.,01101681003,BIORAMA 77 S.R.L.,U00075/12,DECRETO DI ACCREDITAMENTO,Via Carlo fadda 41-47,ROMA,00173,41.8611101,12.5714415
164,1405,102 RM/B,BIOS PREVENTION SRL (GIÀ BIOS MARX S.R.L. E BIOS S.P.A.),12430111000,BIOS PREVENTION SRL (GIÀ BIOS MARX S.R.L. E BIOS S.P.A.),"U00241/12
U00329/14",DECRETO DI ACCREDITAMENTO,Viale Marx n. 203,ROMA,00156,41.9387872,12.5621094
203,1518,102 RM/B,BIO-TEST S.R.L.,01591011000, BIO-TEST S.R.L.,U00396/12,DECRETO DI ACCREDITAMENTO,via Flavio stilicone,ROMA,00264,41.8585242,12.562085
226,1493,102 RM/B,C.A.M.E.S. S.R.L.,01395981002,C.A.M.E.S. S.R.L.,U00283/12,DECRETO DI ACCREDITAMENTO,via Iperione 11 ,ROMA,00133,41.87846,12.61933
236,136,102 RM/B,CARDIOLOGIA CAPITOLINA DOTT. CASELLI S.R.L.,01522101003,CARDIOLOGIA CAPITOLINA DOTT. CASELLI S.R.L.,U00140/12,DECRETO DI ACCREDITAMENTO,"L.go Giulio Capitolino, 9",ROMA,00174,41.8534327,12.5644838
239,222,102 RM/B,CASA DI CURA GUARNIERI S.R.L.,08587551006,CASA DI CURA GUARNIERI E AMBULATORI,U00354/14,DECRETO DI ACCREDITAMENTO,Via Tor De' Schiavi 139,ROMA,00172,41.891813,12.5577782
259,568,102 RM/B,CASTELLO DELLA QUIETE S.P.A,01322141001,R.S.A + CDC NPS -  CASTELLO DELLA QUIETE ,U00350/14,DECRETO DI ACCREDITAMENTO,Via di Tor Cervara 112,ROMA,00155,41.92408340000001,12.5879673
267,967,102 RM/B,CEDIT CENTRO DIAGNOSTICO TIBURTINO SRL,01320571001,CEDIT CENTRO DIAGNOSTICO TIBURTINO SRL,U00144/12,DECRETO DI ACCREDITAMENTO,VIA TIBURTINA 364,ROMA,00159,41.9081008,12.5357959
289,1352,102 RM/B,CENTRO ALESSANDRINO DI FISIOKINESITERAPIA E GINNASTICA MEDICA SNC,01142801008,STRUTTURA AMBULATORIALE CENTRO ALESSANDRINO DI FISIOKINESITERAPIA E GINNASTICA MEDICA SNC,U00152/12,DECRETO DI ACCREDITAMENTO,via G.B. Delponte 12/14,ROMA,00172,41.8766069,12.5782642
317,1161,102 RM/B,CENTRO DIAGNOSTICO GIARDINETTI,05878951002,CENTRO DIAGNOSTICO GIARDINETTI S.R.L.,U00124/12,DECRETO DI ACCREDITAMENTO,VIA CARLO SANTARELLI 98,ROMA,00133,41.8611463,12.6064554
318,428,102 RM/B,CENTRO FISIATRIA RIABILITAZIONE S.R.L.,01006931008,STRUTTURA AMBULATORIALE CENTRO FISIATRIA RIABILITAZIONE S.R.L.,U00399/12,DECRETO DI ACCREDITAMENTO,Via dei Pioppi n. 6,ROMA,00172,41.87732,12.56739
323,423,102 RM/B,CENTRO ITALIANO DI SOLIDARIETÀ DON MARIO PICCHI,02151521008,"CE.I.S. DON MARIO PICCHI ""VIA APPIA NUOVA""",U00384/14,DECRETO DI ACCREDITAMENTO,Via Appia Nuova 1251,ROMA,00174,41.82083,12.56644
327,1928,102 RM/B,CENTRO PERMANENTE DI PREVENZIONE ALLE TOSSICODIPENDENZE,04678391006,CENTRO PERMANENTE DI PREVENZIONE ALLE TOSSICODIPENDENZE,U00411/14,DECRETO DI ACCREDITAMENTO,Via di Pietralatella snc,ROMA,00159,41.9036749,12.5441446
355,1635,102 RM/B,COMUNITA' CAPODARCO DI ROMA ONLUS,04945851006,PRESIDIO MULTIFUNZIONE COMUNITÀ CAPODARCO DI ROMA,"U00070/13
U00143/13
U00212/14",DECRETO DI ACCREDITAMENTO,via lungro 3,ROMA,00178,41.83814,12.5529823
370,1031,102 RM/B,DALC  S.R.L.,01313291005,DALC SRL,U00443/12,DECRETO DI ACCREDITAMENTO,VIA DI TOR VERGATA 1,ROMA,00133,41.8625707,12.6203815
373,1497,102 RM/B,DELTA RX S.R.L.,04181511009,DELTA RX S.R.L.,U00375/12,DECRETO DI ACCREDITAMENTO,via IPERIONE 9,ROMA,00133,41.8784591,12.6193512
393,1727,102 RM/B,DIAGNOSTICA BASIL SRL,04307351009,DIAGNOSTICA BASIL SRL,"U00272/12
U00048/14",DECRETO DI ACCREDITAMENTO,Via del casale di  san basilio 256,ROMA,00156,41.9354874,12.5824748
398,81,102 RM/B,DIAGNOSTICA NOBILIORE SRL,01500211006,STRUTTURA AMBULATORIALE DIAGNOSTICA NOBILIORE S.R.L.,U00008/13,DECRETO DI ACCREDITAMENTO,Viale Marco Fulvio Nobiliore 43,ROMA,00175,41.8576425,12.5633503
399,657,102 RM/B,DIDASCO SOCIETÀ COOPERATIVA SOCIALE,04795971003,DIDASCO SOCIETA COOPERATIVA SOCIALE,U00391/12,DECRETO DI ACCREDITAMENTO,via pescosolido 160,ROMA,00158,41.918306,12.5620651
406,1573,102 RM/B,DOMUS MEDICA - SRL,01315941003,DOMUS MEDICA SRL,U00371/12,DECRETO DI ACCREDITAMENTO,VIA DEI CASTANI 170,ROMA,00172,41.8863007,12.5662862
432,793,102 RM/B,F.K.T. S.R.L.,01017861004,PRESIDIO AMBULATORIALE F.K.T. SRL,U00475/12,DECRETO DI ACCREDITAMENTO,"Via delle Robinie, 1/b",ROMA,00172,41.8829547,12.5613263
435,948,102 RM/B,F.K.T. SALVETTI SRL,01110831003, STRUTTURA AMBULATORIALE F.K.T. SALVETTI SRL,U00123/12,DECRETO DI ACCREDITAMENTO,"Piazza degli Ontani, 11",ROMA,00172,41.8791065,12.5711016
436,1656,102 RM/B,FISIOCARD SRL,01493041006,CENTRO MEDICO POLISPECIALISTICO FISIOCARD,"U00308/12
U00198/13
U00284/13",DECRETO DI ACCREDITAMENTO,"VIA FRANCESCO TOVAGLIERI, 19",ROMA,00155,41.88263,12.5888172
442,1066,102 RM/B,FISIOMICHELMARIA S.R.L.,07738671002,FISIOMICHELMARIA SRL,"U00098/12
U00058/14",DECRETO DI ACCREDITAMENTO,VIA DEL FORTE TOBURTINO 98,ROMA,00159,41.9084078,12.5585964
454,1268,102 RM/B,FISIOTUSCOLANO S.R.L.,01525841001,RIABILITAZIONE,U00095/12,DECRETO DI ACCREDITAMENTO,Via Tuscolana 683,ROMA,00174,41.85221079999999,12.5696612
456,1912,102 RM/B,GESTIONE ROMANA OSPEDALIERA S.R.L.,01093511002,RSA VILLA MENDICINI,U00306/13,DECRETO DI ACCREDITAMENTO,Via degli Olmi 55,ROMA,00172,41.87883,12.57631
463,177MP,102 RM/B,GIUNONE SPA CON SOCIO UNICO,01492761000,VILLA FULVIA - RSA APPIA FELICE,"U00122/13
U00176/14",DECRETO DI ACCREDITAMENTO,VIA APPIA NUOVA 901,ROMA,00178,41.84197,12.55147
484,1197,102 RM/B,HERZLABOR S.R.L.,01672276100, HERZLABOR S.R.L.,U00483/12,DECRETO DI ACCREDITAMENTO,"via Giuseppe Rondinini, 7",ROMA,00159,41.9082606,12.5365745
492,549,102 RM/B,I.M.P.P. LA NOSTRA SCUOLA,01256091008,I.M.P.P. LA NOSTRA SCUOLA,U00016/13,DECRETO DI ACCREDITAMENTO,VIA ACERENZA 35,ROMA,00178,41.84108,12.5530839
507,1690,102 RM/B,ISTITUTO FILIPPO SMALDONE,01093321006,RIABILITAZIONE,U00307/13,DECRETO DI ACCREDITAMENTO,"Via Tor de' Schiavi, n° 404",ROMA,00171,41.891813,12.5577782
523,608,102 RM/B,ISTITUTO NEUROTRAUMATOLOGICO ITALIANO SPA,01009381003,INI CENTOCELLE,U00377/14,DECRETO DI ACCREDITAMENTO,"Via dei Castani, 183-185",ROMA,00171,41.8844271,12.5666152
540,1576,102 RM/B,ISTITUTO RADIOLOGICO TIBURTINO S.R.L.,01242741005,STRUTTURA AMBULATORIALE ISTITUTO RADIOLOGICO TIBURTINO SRL,"U00486/12
U00156/13",DECRETO DI ACCREDITAMENTO,Via Palmiro Togliatti 1640 ,ROMA,00155,41.9130271,12.5711311
541,1063,102 RM/B,LABOCONSULT SRL,01173631001,STRUTTURA AMBULATORIALE LABOCONSULT SRL,U00370/12,DECRETO DI ACCREDITAMENTO,VIA TROILO IL GRANDE 55,ROMA,00131,41.9479926,12.6010241
559,482,102 RM/B,LABOMEDICA S.R.L.,01232211001,LABOMEDICA_GIULIO_AGRICOLA_33,U00029/13,DECRETO DI ACCREDITAMENTO,Viale Giulio Agricola 33,ROMA,00174,41.85598,12.56208
566,1288,102 RM/B,LABORATORIO ANALISI CLINICHE ANNIBALIANO S.R.L.,01378331001,STRUTTURA AMBULATORIALE LABORATORIO ANALISI CLINICHE ANNIBALIANO S.R.L.,"U00258/12
U00330/14",DECRETO DI ACCREDITAMENTO,VIA CASAL BIANCO N. 141,ROMA,00131,41.94164,12.62851
569,1299,102 RM/B,LABORATORIO ANALISI CLINICHE GIGLIOLI SRL,01386841009,LABORATORIO ANALISI CLINICHE GIGLIOLI S.R.L.,U00050/12,DECRETO DI ACCREDITAMENTO,Via Domenico De Dominicis 39,ROMA,00159,41.90201589999999,12.5353544
