N,ID_PR,ASL,RAGIONE SOCIALE,PARTITA IVA,NOME PRESIDIO,DECRETI,TIPO DI PROVVEDIMENTO,INDIRIZZO,COMUNE,CAP,Latitude,Longitude
783,1643,112 FROSINONE,RADIOLOGIA MORLUPO DI E. ARDUINI & C. S.A.S.,04198681001,RADIOLOGIA MORLUPO DI E. ARDUINI & C. S.A.S.,U00209/14,DECRETO DI ACCREDITAMENTO,VIA DEI VILLINI 1,ROMA,00067,42.14399299999999,12.490363
798,1191,112 FROSINONE,SALUS S.R.L.,00373890607,VIA LECCE,U00488/12,DECRETO DI ACCREDITAMENTO,Via Lecce 7,FROSINONE,03100,41.63532,13.34973
859,1637,112 FROSINONE,SALUS SRL,02003280605,SALUS SRL  (20PL),U00049/13,DECRETO DI ACCREDITAMENTO,"VIA Aurita, 4",BROCCOSTELLA,03030,41.702,13.67386
1006,890,112 FROSINONE,SALUS SRL,02003280605,SALUS SRL  (60PL),U00280/13,DECRETO DI ACCREDITAMENTO,VIA VALCATOIO N.20,ISOLA DEL LIRI,03036,41.6812376,13.573585
603,249,112 FROSINONE,SALUS TERME SRL,00365460609,SALUS TERME SRL,U00351/14,DECRETO DI ACCREDITAMENTO,VIA A.NAZARI 24,FIUGGI,03014,41.7914428,13.2199172
196,2544,112 FROSINONE,SAN RAFFAELE SPA,08253151008,CASA DI CURA -CENTRO RIABILITAZIONE - RSA - HOSPICE  SAN RAFFAELE CASSINO,U00181/12,DECRETO DI ACCREDITAMENTO,"Via Gaetano Di Biasio, 1",CASSINO,03043,41.491212,13.8256923
992,36,112 FROSINONE,SANGERMANO SRL,00617420609,R.S.A. SAN GERMANO SRL,U00117/13,DECRETO DI ACCREDITAMENTO,"VIALE MARCONI, 10",PIEDIMONTE SAN GERMANO,03030,41.4997747,13.743345
392,52,112 FROSINONE,SM3 SRL,00607020609,SM3 SRL,U00455/12,DECRETO DI ACCREDITAMENTO,VIA MOROLENSE 20,SUPINO,03019,41.6090394,13.2896324
68,1029,112 FROSINONE,JOHNNY & MARY SRL (GIÀ SOC. COOP. 'AURORA 2000'),02649180607,CASA JOHNNY,"U00213/13
U00082/14
U00403/14",DECRETO DI ACCREDITAMENTO,"Via Poggio Romano,5",PALIANO,03018,41.806102,13.035037
582,1034,112 FROSINONE,JOHNNY & MARY SRL (GIÀ SOC. COOP. 'AURORA 2000'),06323191004,CASA MARY,U00215/13,DECRETO DI ACCREDITAMENTO,VIa Poggio Romano 45,PALIANO,03018,41.8032358,13.0282113
